file,Frontal,Central,Temporal,Parietal,Occipital
agg_subj25_valence_Lorentzian+Coherence.pkl,0.2750243941942851,0.27686569520405363,0.27195262908935547,0.27446627616882324,0.27407262921333314
agg_subj25_valence_Hjorth+AEC.pkl,0.35486919350094265,0.3524775675364903,0.3461168259382248,0.34559594260321724,0.34567478895187376
agg_subj14_valence_Lorentzian+PLI.pkl,0.2758649422062768,0.27368404609816416,0.27743005752563477,0.2759635912047492,0.2726533114910126
agg_subj11_valence_Hjorth+PLI.pkl,0.3167236049969991,0.32003481898988995,0.326156422495842,0.3167016671763526,0.3172221779823303
agg_subj25_dominance_WaveletEnergy+AEC.pkl,0.27405080530378556,0.27469455344336374,0.2778289318084717,0.2748778031931983,0.2748595952987671
agg_subj4_dominance_FractalDimension+Coherence.pkl,0.26408453120125663,0.27173737968717304,0.26441486179828644,0.26602837443351746,0.26227649450302126
agg_subj14_arousal_FractalDimension+MutualInfo.pkl,0.2981695466571384,0.32475712469645907,0.31594274938106537,0.31560924649238586,0.32193352580070494
agg_subj28_valence_Hjorth+PLV.pkl,0.35281650887595284,0.3480142056941986,0.36361370980739594,0.34525148736106026,0.33621473908424376
agg_subj5_dominance_Hjorth+PLI.pkl,0.2668396400080787,0.2721272366387503,0.2682546228170395,0.2700602379110124,0.27134764194488525
agg_subj11_dominance_Bandpower+Correlation.pkl,0.27386732233895195,0.27389727319989887,0.27450431883335114,0.27672818634245133,0.27489163279533385
agg_subj29_valence_Lorentzian+MutualInfo.pkl,0.27561067872577244,0.2745694305215563,0.2754872888326645,0.27312468489011127,0.27260078191757203
agg_subj9_dominance_SpectralEntropy+PLV.pkl,0.26982054776615566,0.2646561307566507,0.2697555124759674,0.27100033892525566,0.2664115190505981
agg_subj25_arousal_Hjorth+AEC.pkl,0.35147090090645683,0.3484655363219125,0.34619148075580597,0.3415172861682044,0.3490735411643982
agg_subj31_dominance_Bandpower+PLV.pkl,0.2744584282239278,0.2758740910461971,0.27120964229106903,0.27382152610354954,0.27261449694633483
agg_subj13_valence_DifferentialEntropy+PLV.pkl,0.2755822969807519,0.27894831555230276,0.2798367738723755,0.2814936406082577,0.276489669084549
agg_subj16_dominance_FractalDimension+PLV.pkl,0.2707579433917999,0.26843404344149996,0.2690434157848358,0.26843847499953377,0.27171228528022767
agg_subj11_dominance_SpectralEntropy+MutualInfo.pkl,0.2957541545232137,0.31922433206013273,0.30871064960956573,0.31724845700793797,0.32688859701156614
agg_subj21_dominance_Bandpower+PLI.pkl,0.2734940018918779,0.2784660586288997,0.27327632904052734,0.27558104859458077,0.271468847990036
agg_subj19_arousal_WaveletEnergy+PLV.pkl,0.2753474977281358,0.2726709246635437,0.2732067406177521,0.27347776624891496,0.276655387878418
agg_subj14_valence_Bandpower+MutualInfo.pkl,0.2742159333493974,0.27343012179647175,0.2826417088508606,0.27408794893158805,0.2758870244026184
agg_subj13_dominance_SpectralEntropy+PLV.pkl,0.26686977015601265,0.2684845839227949,0.2741018235683441,0.27139116326967877,0.2696197688579559
agg_subj15_valence_DifferentialEntropy+PLV.pkl,0.2785838809278276,0.28132868238857817,0.2822846919298172,0.27955209877755904,0.27911345958709716
agg_subj24_arousal_Bandpower+Correlation.pkl,0.2751699421140883,0.2723380114351,0.27715376019477844,0.27458085616429645,0.27321786880493165
agg_subj22_arousal_SpectralEntropy+Correlation.pkl,0.2713186475965712,0.26622794781412396,0.2673064023256302,0.2658923069636027,0.26628373861312865
agg_subj15_arousal_Hjorth+AEC.pkl,0.28889134526252747,0.2904037024293627,0.2867361754179001,0.28091549542215133,0.2791334092617035
agg_subj2_dominance_FractalDimension+MutualInfo.pkl,0.2996384799480438,0.32396467668669565,0.31070031225681305,0.31896793180041844,0.3225346028804779
agg_subj10_dominance_WaveletEnergy+PLI.pkl,0.27556148833698696,0.27496584824153353,0.27134189009666443,0.2751680546336704,0.275269079208374
agg_subj22_valence_SpectralEntropy+PLV.pkl,0.2683250606060028,0.2725908202784402,0.27072569727897644,0.27090997166103786,0.26837161779403684
agg_subj10_arousal_FractalDimension+AEC.pkl,0.2797396613491906,0.2691231199673244,0.27586688101291656,0.2702702383200328,0.2658764660358429
agg_subj16_arousal_DifferentialEntropy+PLI.pkl,0.27293214201927185,0.2783118188381195,0.27950847148895264,0.2790391809410519,0.28054463267326357
agg_subj6_dominance_RelativeBandpower+AEC.pkl,0.27525261375639176,0.2744677833148411,0.27719080448150635,0.275629633002811,0.27947095036506653
agg_subj0_dominance_DifferentialEntropy+PLV.pkl,0.27700050671895343,0.2738859696047647,0.2803034633398056,0.27911332580778336,0.2720696270465851
agg_subj1_valence_Hjorth+Coherence.pkl,0.4005055957370334,0.40010824373790194,0.3972509950399399,0.39817952116330463,0.3969922363758087
agg_subj9_dominance_RelativeBandpower+AEC.pkl,0.27448705832163495,0.27807467324393137,0.2792682498693466,0.2739613850911458,0.2736606538295746
agg_subj1_valence_SpectralEntropy+PLV.pkl,0.262675392958853,0.2624631566660745,0.2619716078042984,0.2663874526818593,0.26556862592697145
agg_subj16_valence_RelativeBandpower+PLI.pkl,0.27771610021591187,0.27321498308862957,0.2754114717245102,0.27496634589301217,0.2760310709476471
agg_subj20_valence_DifferentialEntropy+Coherence.pkl,0.2750669452879164,0.2764561559472765,0.28193096816539764,0.27306881215837264,0.27302377820014956
agg_subj19_valence_Lorentzian+Coherence.pkl,0.27416596478886074,0.2735352601323809,0.2763526290655136,0.2751636505126953,0.2788378894329071
agg_subj26_valence_Hjorth+PLV.pkl,0.32607858379681903,0.3349539765289852,0.3443175107240677,0.32831146319707233,0.32141517996788027
agg_subj5_arousal_FractalDimension+PLI.pkl,0.2678181164794498,0.26405392374311176,0.263122022151947,0.26738041308191085,0.27113023996353147
agg_subj25_dominance_Hjorth+PLI.pkl,0.2935927278465695,0.29638221859931946,0.30558089911937714,0.29773933357662624,0.2931578457355499
agg_subj10_arousal_Bandpower+AEC.pkl,0.27738969524701435,0.2745116949081421,0.27470530569553375,0.2744592097070482,0.27365642786026
agg_subj21_valence_RelativeBandpower+AEC.pkl,0.2758072382873959,0.2728844370160784,0.2739693522453308,0.27591654658317566,0.27506767511367797
agg_subj8_dominance_FractalDimension+AEC.pkl,0.2779015567567613,0.2664452748639243,0.2687510997056961,0.26814523339271545,0.26929638981819154
agg_subj31_valence_WaveletEnergy+MutualInfo.pkl,0.2744579282071855,0.2729871826512473,0.2733209729194641,0.27514193455378216,0.27410697340965273
